GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hop-On,view,BoardingTable,112,0,2,0,25,0,2,0,1,0
Hop-On,view,PilotAdd.new ActionListener() {...},76,0,6,0,13,0,5,0,2,0
Hop-On,view,PilotAdd.new ListSelectionListener() {...},24,0,2,0,5,0,3,0,2,0
Hop-On,view,CustomerAddFlight,151,0,2,0,31,0,2,0,1,0
Hop-On,view,PilotAdd.new ActionListener() {...},19,0,0,0,6,0,2,0,2,0
Hop-On,view,PilotAdd,150,0,2,0,31,0,2,0,1,0
Hop-On,view,PilotAdd.new ActionListener() {...},19,0,0,0,6,0,2,0,2,0
Hop-On,view,PilotViewFlights.new ActionListener() {...},19,0,0,0,6,0,2,0,2,0
Hop-On,view,CustomerAddFlight.new ListSelectionListener() {...},24,0,2,0,5,0,3,0,2,0
Hop-On,view,CustomerAddFlight.new ActionListener() {...},73,0,4,0,13,0,4,0,2,0
Hop-On,view,BoardingTable.new ActionListener() {...},19,0,0,0,6,0,2,0,2,0
Hop-On,view,CustomerAddFlight.new ActionListener() {...},19,0,0,0,6,0,2,0,2,0
Hop-On,view,CustomerAddFlight.new ActionListener() {...},19,0,0,0,6,0,2,0,2,0
Hop-On,view,CustomerView,164,0,0,0,31,0,1,0,1,0
Hop-On,view,PilotView.new ActionListener() {...},23,0,0,0,9,0,2,0,2,0
Hop-On,view,PilotView.new ActionListener() {...},17,0,0,0,5,0,2,0,2,0
Hop-On,view,PilotView.new ActionListener() {...},19,0,0,0,6,0,2,0,2,0
Hop-On,view,LoginView.new ActionListener() {...},46,6,6,0,12,1,4,1,1,1
Hop-On,view,CustomerAdd,146,0,0,0,32,0,3,0,3,0
Hop-On,view,CustomerViewFlights,112,0,2,0,25,0,2,0,1,0
Hop-On,view,CustomerView.new ActionListener() {...},19,0,0,0,6,0,2,0,2,0
Hop-On,view,CustomerView.new ActionListener() {...},23,0,0,0,9,0,2,0,2,0
Hop-On,view,CustomerView.new ActionListener() {...},17,0,0,0,5,0,2,0,2,0
Hop-On,view,CustomerView.new ActionListener() {...},17,0,0,0,5,0,2,0,2,0
Hop-On,view,CustomerView.new ActionListener() {...},17,0,0,0,5,0,2,0,2,0
Hop-On,view,PilotView,121,0,0,0,23,0,1,0,1,0
Hop-On,view,CustomerViewFlights.new ActionListener() {...},19,0,0,0,6,0,2,0,2,0
Hop-On,view,Check_inView,158,0,2,0,33,0,2,0,1,0
Hop-On,view,PilotViewFlights,108,0,2,0,24,0,2,0,1,0
Hop-On,view,LoginView,18,114,0,0,8,25,2,1,2,1
Hop-On,view,Check_inView.new ActionListener() {...},19,0,0,0,6,0,2,0,2,0
Hop-On,view,Check_inView.new ActionListener() {...},19,0,0,0,6,0,2,0,2,0
Hop-On,view,Check_inView.new ListSelectionListener() {...},24,0,2,0,5,0,3,0,2,0
Hop-On,view,Check_inView.new ActionListener() {...},71,0,4,0,13,0,4,0,2,0
Hop-On,view,CustomerAdd.new ActionListener() {...},19,0,0,0,6,0,2,0,2,0
Hop-On,view,CustomerAdd.new ActionListener() {...},35,0,2,0,10,0,3,0,2,0
Hop-On,controller,LoginController,0,17,0,0,0,9,0,2,0,2
Hop-On,model,Pilot,0,58,1,7,0,18,1,6,0,3
Hop-On,model,Customer,19,134,4,14,1,34,5,12,1,7
Hop-On,model,User,4,150,5,11,0,31,5,15,0,12
Hop-On,model,Flight,2,174,7,11,0,40,7,19,0,17
Hop-On,services,UserService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
Hop-On,services,UserService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
Hop-On,services,UserService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
Hop-On,services,UserService,25,483,9,45,7,115,7,44,1,23
Hop-On,services,FileSystemService,0,18,0,0,0,4,0,3,0,3
Hop-On,services,JSONWriterFlights,3,148,0,0,2,27,0,3,0,3
Hop-On,services,JSONWriter,9,126,0,0,4,27,0,5,0,5
Hop-On,exceptions,IncorrectUsernameException,0,7,0,0,0,3,0,1,0,1
Hop-On,exceptions,IncorrectPasswordException,0,7,0,0,0,3,0,1,0,1
